eva,name,lat,lon,region_name,state_name
8004751,Papenburg(Ems),53.089706,7.386708,Weser-Ems,Niedersachsen
8000290,Offenburg,48.476475,7.946723,Freiburg,Baden-Württemberg
8010361,Waren(Müritz),53.521512,12.680678,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
8000262,München Ost,48.12744,11.604971,Oberbayern,Bayern
8010405,Berlin-Wannsee,52.4209723,13.1795275,Berlin,Berlin
8005362,Schleswig,54.499457,9.53814,Schleswig-Holstein,Schleswig-Holstein
8000261,München Hbf,48.140232,11.558335,Oberbayern,Bayern
8000294,Osnabrück Hbf,52.272851,8.061781,Weser-Ems,Niedersachsen
8000279,Nienburg(Weser),52.645566,9.217753,Hannover,Niedersachsen
8003866,Marienhafe,53.5192358,7.27436006,Weser-Ems,Niedersachsen
8002370,Lennestadt-Grevenbrück,51.141781,8.017977,Arnsberg,Nordrhein-Westfalen
8001443,Diepholz,52.604771,8.380334,Hannover,Niedersachsen
8003065,Immenstadt,47.559203,10.213999,Schwaben,Bayern
8010216,Ludwigslust,53.334671,11.494491,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
8000732,Bad Oeynhausen,52.205398,8.796523,Detmold,Nordrhein-Westfalen
8000108,Freilassing,47.836916,12.977193,Oberbayern,Bayern
8000770,Bad Zwischenahn,53.182547,8.003123,Weser-Ems,Niedersachsen
8000323,Saarbrücken Hbf,49.241065,6.991021,Saarland,Saarland
8010310,Salzwedel,52.858113,11.162035,Magdeburg,Sachsen-Anhalt
8005616,Spaichingen,48.068987,8.740147,Freiburg,Baden-Württemberg
8011957,Jena West,50.923286,11.577848,Thüringen,Thüringen
8003978,Meppen,52.696021,7.298015,Weser-Ems,Niedersachsen
8010222,Lutherstadt Wittenberg Hbf,51.867811,12.662285,Dessau,Sachsen-Anhalt
8077770,Dagebüll Kirche,54.730283,8.729485,Schleswig-Holstein,Schleswig-Holstein
8000301,Plattling,48.779619,12.86394,Niederbayern,Bayern
8012763,Ribnitz-Damgarten West,54.239176,12.436965,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
