trip_id,stop_id,stop_sequence,delay,category,operator
9717109801701324627,8083368,9,120,S,8003S
9718482729425550280,8000107,3,60,ICE,80
9718482729425550280,8000107,3,60,ICE,80
9718482729425550280,8000290,4,60,ICE,80
9718482729425550280,8000290,4,60,ICE,80
9720974069368325137,8000322,1,0,HzL,R7
9720974069368325137,8005200,2,480,HzL,R7
9720974069368325137,8005200,2,0,HzL,R7
9720974069368325137,8005202,3,0,HzL,R7
9720974069368325137,8005202,3,0,HzL,R7
9720974069368325137,8004280,4,0,HzL,R7
9720974069368325137,8004280,4,480,HzL,R7
9720974069368325137,8000481,5,420,HzL,R7
9720974069368325137,8000481,5,420,HzL,R7
9720974069368325137,8005617,6,420,HzL,R7
9720974069368325137,8005617,6,420,HzL,R7
9720974069368325137,8005616,7,420,HzL,R7
9720974069368325137,8005616,7,420,HzL,R7
9720974069368325137,8000787,8,420,HzL,R7
9720974069368325137,8000787,8,420,HzL,R7
9720974069368325137,8005097,9,420,HzL,R7
9720974069368325137,8005097,9,420,HzL,R7
9720974069368325137,8006281,10,360,HzL,R7
9720974069368325137,8006281,10,300,HzL,R7
9720974069368325137,8006626,11,360,HzL,R7
9720974069368325137,8006626,11,300,HzL,R7
9720974069368325137,8006625,12,300,HzL,R7
9720974069368325137,8006625,12,300,HzL,R7
9720974069368325137,8005925,13,300,HzL,R7
9720974069368325137,8005925,13,240,HzL,R7
9720974069368325137,8000163,14,180,HzL,R7
9720974069368325137,8000163,14,0,HzL,R7
9720974069368325137,8005946,15,60,HzL,R7
9720974069368325137,8005946,15,0,HzL,R7
9720974069368325137,8004068,16,0,HzL,R7
9720974069368325137,8004068,16,0,HzL,R7
9720974069368325137,8004067,17,0,HzL,R7
9720974069368325137,8004067,17,0,HzL,R7
9720974069368325137,8003061,18,60,HzL,R7
9720974069368325137,8003061,18,0,HzL,R7
9720974069368325137,8000182,19,0,HzL,R7
9722246962991317539,8083368,10,60,S,8003S
9722246962991317539,8083368,10,60,S,8003S
9739962031518542462,8003293,1,0,S,800725
9739962031518542462,8002068,2,60,S,800725
9739962031518542462,8002068,2,0,S,800725
9739962031518542462,8000107,4,120,S,800725
9739962031518542462,8000107,4,60,S,800725
9747872821658607111,8002365,2,60,RB,800631
9747872821658607111,8002365,2,60,RB,800631
9747872821658607111,8006629,3,60,RB,800631
9747872821658607111,8006629,3,120,RB,800631
9747872821658607111,8000932,6,60,RB,800631
9747872821658607111,8000932,6,120,RB,800631
9747872821658607111,8001174,8,120,RB,800631
9747872821658607111,8001174,8,120,RB,800631
9747872821658607111,8005255,9,120,RB,800631
9747872821658607111,8005255,9,60,RB,800631
9747872821658607111,8000463,13,120,RB,800631
9747872821658607111,8000463,13,120,RB,800631
9747872821658607111,8001491,14,120,RB,800631
9747872821658607111,8001491,14,120,RB,800631
9747872821658607111,8006167,15,60,RB,800631
9747872821658607111,8006167,15,0,RB,800631
9747872821658607111,8005871,16,0,RB,800631
9747872821658607111,8005871,16,0,RB,800631
9747872821658607111,8003562,17,0,RB,800631
9747872821658607111,8003562,17,0,RB,800631
9747872821658607111,8004552,18,0,RB,800631
9755729759693266569,8000965,4,120,RB,8006SH
9755729759693266569,8000965,4,120,RB,8006SH
9755729759693266569,8002337,5,60,RB,8006SH
9755729759693266569,8002337,5,120,RB,8006SH
