from_stop_id,to_stop_id,avg_delay,median_delay,max_delay
8000112,8003930,72,0,540
8000112,8004029,51,0,330
8000112,8004965,93,0,600
8000113,8000037,221,60,1950
8000113,8000113,289,90,3750
8000113,8000961,620,150,3780
8000113,8001066,-3,-30,120
8000113,8006389,216,180,780
8000114,8000114,174,90,3750
8000114,8000284,260,150,3780
8000114,8001844,181,90,1380
8000114,8002149,20,0,240
8000114,8002155,98,60,480
8000114,8004487,105,60,450
8000114,8005557,175,180,480
8000114,8006052,118,90,450
8000115,8000020,423,285,1710
8000115,8000105,236,120,690
8000115,8000115,507,300,7200
8000115,8000150,334,210,1710
8000115,8000260,372,270,1860
8000115,8000891,180,120,600
8000115,8002041,150,150,330
8000115,8003016,125,45,540
8000115,8003200,617,210,2310
8000115,8004295,110,90,480
8000115,8010097,2142,1440,7200
8000116,8000108,273,180,930
8000116,8000116,423,270,2010
8000116,8003023,116,30,480
8000116,8004885,535,240,1980
8000116,8005873,111,30,690
8000116,8005940,120,120,120
8000117,8000117,253,120,1770
8000117,8002526,184,60,960
8000117,8002532,348,180,2130
8000117,8003550,205,120,720
8000117,8006132,252,240,780
8000118,8000098,465,195,2430
8000118,8000118,282,120,2520
8000118,8000192,247,150,1680
8000118,8000263,577,645,900
8000118,8000286,456,180,2040
8000118,8000307,390,390,540
8000118,8001900,39,0,330
8000118,8001909,121,60,450
8000118,8002227,87,0,570
8000119,8000119,153,105,1200
8000119,8000195,161,90,1200
8000119,8001229,112,60,330
8000119,8002141,87,60,240
8000119,8004158,181,120,540
8000119,8005920,118,60,1020
8000120,8000120,103,60,690
8000120,8003189,146,60,660
8000120,8003329,19,0,120
8000120,8003548,45,30,390
8000120,8005092,110,75,330
8000120,8006349,88,45,450
8000121,8000021,236,225,690
8000121,8000121,192,90,1800
8000121,8000976,361,300,1800
8000121,8003075,55,45,120
8000121,8004614,50,15,240
8000121,8006312,241,180,1710
8000122,8000009,150,150,150
8000122,8000078,33,0,150
8000122,8000122,64,30,390
8000122,8000284,30,0,210
8000122,8000385,57,30,240
8000122,8004731,55,15,240
8000122,8004753,37,0,210
8000122,8006298,66,30,450
8000124,8000111,400,330,1170
8000124,8000124,282,210,1740
8000124,8000234,70,30,180
8000124,8000337,372,210,1440
8000124,8000383,86,45,300
8000124,8000728,270,270,270
8000124,8001312,396,360,720
8000124,8001618,96,30,330
8000124,8002269,142,75,1350
8000124,8002410,382,150,3270
8000125,8000047,703,480,2460
8000125,8000125,700,420,2580
8000125,8000145,808,570,2580
8000125,8000307,671,255,2490
8000126,8000126,734,570,4410
8000126,8002386,993,810,3030
8000126,8003605,324,180,1320
8000126,8005740,521,270,4410
8000127,8000096,90,90,90
8000127,8000127,101,60,1260
8000127,8000170,525,525,1050
8000127,8000302,88,30,810
8000127,8001632,0,0,0
8000127,8002218,58,30,300
8000127,8005949,150,150,150
8000128,8000128,586,270,4920
8000128,8000150,2910,2910,2910
8000128,8000152,903,510,4350
8000128,8000169,747,360,2670
8000128,8000260,2490,2490,2490
8000128,8000283,0,0,0
8000128,8002102,101,45,480
8000128,8003200,276,150,2070
8000128,8004441,60,30,240
8000128,8011849,162,30,840
8000129,8000129,318,225,1620
8000129,8000337,228,105,1080
8000129,8000368,645,510,1590
8000129,8001098,460,450,810
8000129,8003200,165,165,240
8000129,8004328,125,90,270
8000129,8005365,90,60,150
8000129,8006401,38,0,120
8000130,8000130,61,30,270
8000130,8000364,193,120,1260
8000130,8003522,25,0,240
8000130,8004665,54,30,240
8000131,8000055,270,270,270
8000131,8000131,123,30,1500
8000131,8000191,232,105,780
8000131,8001009,530,90,1500
8000131,8002116,124,0,1020
8000131,8003181,120,30,1230
8000131,8004813,98,90,330
8000131,8006137,0,0,0
8000131,8006417,50,30,720
8000133,8000133,250,120,1500
8000133,8003130,254,60,1500
8000133,8005159,209,120,990
8000134,8000134,151,120,630
8000134,8003402,210,45,1560
8000134,8004784,122,60,810
8000134,8005476,246,240,810
8000134,8005905,79,30,1560
8000135,8000135,310,180,3870
8000135,8002104,462,420,1260
8000135,8003330,310,120,1320
8000135,8004869,767,495,3990
8000135,8005556,270,180,1290
8000135,8005629,274,120,3780
8000137,8000137,162,90,1530
8000137,8002444,181,60,1560
8000137,8003285,111,90,510
8000137,8070096,45,30,150
8000138,8000138,142,30,2040
8000138,8002490,125,60,780
8000138,8002869,76,30,510
8000138,8006718,176,30,1980
8000139,8000013,768,270,6420
8000139,8000139,324,150,6570
8000139,8000170,365,165,2010
8000139,8003627,215,45,1500
8000139,8004654,200,120,660
8000139,8006219,41,30,90
8000139,8006730,170,150,270
8000140,8000140,180,60,870
8000140,8002374,240,90,870
8000140,8003200,60,60,120
8000140,8005039,188,105,780
8000141,8000141,151,90,1620
8000141,8000314,231,60,1050
8000141,8003248,160,30,1140
8000141,8004070,453,390,1260
8000141,8004778,480,480,480
8000141,8005197,140,60,360
8000141,8005916,57,60,270
8000141,8005918,115,120,300
8000142,8000037,193,90,1620
8000142,8000080,1406,1260,7020
8000142,8000142,372,135,6810
8000142,8000149,287,240,630
8000142,8000227,0,0,0
8000142,8000266,605,195,3480
8000142,8000977,53,30,630
8000142,8001795,247,180,1470
8000142,8002514,101,30,720
8000142,8002769,127,90,690
8000142,8002953,117,30,1050
8000142,8006386,181,60,1320
8000142,8006712,76,30,480
8000144,8000057,263,210,1800
8000144,8000144,254,150,2430
8000144,8000338,283,270,660
8000144,8000768,245,75,2340
8000144,8004927,268,90,2370
8000145,8000083,405,345,1620
8000145,8000125,690,510,2250
8000145,8000145,449,330,2250
8000145,8000307,388,240,1680
8000145,8003891,370,210,1920
8000145,8005811,518,420,2280
8000147,8000050,206,120,1350
8000147,8000147,677,210,7380
8000147,8000152,221,120,690
8000147,8000238,247,210,990
8000147,8001315,63,30,270
8000147,8002549,1201,660,7470
8000148,8000148,143,15,2610
8000148,8000342,56,0,390
8000148,8001342,338,0,2580
8000148,8002586,77,60,210
8000148,8002812,336,0,2670
8000148,8005708,38,0,480
8000149,8000036,549,420,1710
8000149,8000076,247,255,510
8000149,8000080,563,165,3540
8000149,8000118,60,60,60
8000149,8000142,815,300,3450
8000149,8000149,326,120,4140
8000149,8000171,378,300,1170
8000149,8000263,210,165,360
8000149,8001045,184,90,810
8000149,8001061,187,90,1620
8000149,8001558,388,180,1800
8000149,8002461,587,210,1770
8000149,8002680,348,180,2400
8000149,8003168,243,60,2130
8000149,8004448,61,30,270
8000149,8006323,38,0,390
8000150,8000010,870,615,2190
8000150,8000105,429,210,2850
8000150,8000115,770,540,2370
8000150,8000117,180,180,180
8000150,8000128,1680,1680,1680
8000150,8000150,353,180,5370
8000150,8000260,127,150,270
8000150,8000349,144,60,660
8000150,8002039,270,270,270
8000150,8002041,963,375,5370
8000150,8002050,96,60,1290
8000150,8002400,189,90,750
8000150,8002572,222,60,1560
8000150,8002573,50,30,210
8000150,8002877,1290,1290,1290
8000150,8003143,185,120,780
8000150,8003200,120,120,120
8000150,8003550,210,120,660
8000150,8005261,457,495,690
8000150,8006548,320,120,2550
8000150,8010101,1200,1200,1200
8000152,8000036,255,90,1590
8000152,8000049,352,120,1710
8000152,8000050,605,255,1860
8000152,8000064,664,375,3450
