eva,ds100,lat,lon,name,is_active_ris,is_active_iris,meta_evas,available_transports,number_of_events
8011288,LBUD,52.141482,11.836977,Büden,True,True,[],[],
5454427,PTKBV,50.67221,13.87865,Krupka-Bohosudov,True,True,[],['INTER_REGIONAL_TRAIN' 'REGIONAL_TRAIN'],25554.0
8000283,HN,51.703139,9.986618,Northeim(Han),True,True,[230078],['REGIONAL_TRAIN'],72590.0
5499862,PTOCC,50.1497766,14.5078969,Praha Bus MHD OC Cakovice,True,False,[],[],
5499862,PTOCC,50.1497766,14.5078969,Praha OC Cakovice (Bus MHD),False,True,[],[],
5400548,OTBVE,50.509515,15.603431,Borovnice,True,True,[],['REGIONAL_TRAIN'],6690.0
8501126,OSRIV,46.474208,6.784595,Rivaz,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],
8004965,TRB,47.784481,9.6061,Ravensburg,True,True,[492865],['HIGH_SPEED_TRAIN' 'REGIONAL_TRAIN'],79339.0
8002220,MGEU,47.693887,11.966403,Geitau,True,True,[],['REGIONAL_TRAIN'],26096.0
8270790,XLNK,49.536286,5.893876,Niederkorn,True,True,[],['REGIONAL_TRAIN'],66.0
8000712,FHO,50.219904,8.620624,Bad Homburg,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],100099.0
8071345,FAUML,50.402633,8.252335,Aumenau Lahnstraße,True,True,[],[],12528.0
8001842,KERN,51.229278,6.91064,Erkrath-Nord,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],65756.0
8509250,OSBV,46.54991,9.88847,Bever,True,True,[],['INTER_REGIONAL_TRAIN' 'REGIONAL_TRAIN'],
8010406,BZOO,52.5073407,13.3324447,Berlin Zoologischer Garten,True,True,[8089046],"['HIGH_SPEED_TRAIN' 'INTERCITY_TRAIN' 'INTER_REGIONAL_TRAIN' 'REGIONAL_TRAIN' 'CITY_TRAIN']",177138.0
8071655,FFW B,50.120967,8.650915,Frankfurt(Main) Bockenheimer Warte (SEV),True,True,[],[],914.0
8101502,OASGH,48.271171,14.450994,St. Georgen/Gusen Ort,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],4970.0
8013123,BTHR,52.247228,13.259634,Thyrow,True,True,[8071191],['REGIONAL_TRAIN'],25778.0
8001130,KBRB,50.27414,7.643187,Braubach,True,True,[8075956],['REGIONAL_TRAIN'],30046.0
8012225,ULIT,50.524377,11.481606,Lichtentanne(Thür),True,True,[],['REGIONAL_TRAIN'],12078.0
8703330,XFFS,43.99666,7.551509,Fontan Saorge,True,True,[],['REGIONAL_TRAIN'],5370.0
8601004,XDHM,56.4388717,8.63994576,Hjerm st,True,True,[],[],
8001914,EEUE,51.428541,7.068716,Essen-Überruhr,True,True,[654777],['CITY_TRAIN'],51800.0
8003836,FMAN,51.125543,9.206155,Mandern,True,True,[],['REGIONAL_TRAIN'],18518.0
8005968,FUNG,51.124656,9.218971,Ungedanken,True,True,[712613],['REGIONAL_TRAIN'],18006.0
8003262,FKGS,50.473373,8.666869,Kirch Göns,True,True,[128610],['REGIONAL_TRAIN'],53024.0
713410,,51.289181,9.571278,"Papierfabrik Industriestraße, Kaufungen",True,False,[],['TRAM'],
8003508,RLW,49.195748,8.107052,Landau(Pfalz)West,True,True,[],['REGIONAL_TRAIN'],25042.0
8000933,TBEU,48.048791,8.97189,Beuron,True,True,[],['REGIONAL_TRAIN'],18050.0
8071342,FRUKS,50.4057927,8.15360829,Runkel Sparkasse,True,True,[],[],
